Component Name,Description,Custom ID,Department,Owner,Data Classification,Deployment Status,Risk Score,Tags
Contract Review AI,"Uses GPT-4o to review and summarise legal contracts, flagging unusual clauses and risks for legal counsel review.",app-contract-review,Legal,Sarah Chen,confidential,Active,70,"ai-system,legal,gpt-4o,assessed"
Legal Brief Summariser,Summarises lengthy legal briefs and case documents using Claude 3.5 Sonnet for faster case preparation.,app-legal-brief,Legal,Sarah Chen,confidential,Active,55,"ai-system,legal,claude,owned"
Clause Extractor,Automatically identifies and extracts specific contract clauses (liability; IP; termination) from uploaded documents.,app-clause-extractor,Legal,Sarah Chen,confidential,Active,60,"ai-system,legal,gpt-4o,assessed"
Compliance Checker,Checks contracts and policies against current regulatory requirements using GPT-4o with a legal knowledge base.,app-compliance-checker,Legal,Sarah Chen,internal,Active,40,"ai-system,legal,gpt-4o,compliant"
NDA Drafting Assistant,"Generates first-draft NDAs based on deal parameters, reviewed by legal before sending to counterparties.",app-nda-drafting,Legal,Sarah Chen,confidential,Active,65,"ai-system,legal,claude,owned"
Code Assistant,GitHub Copilot integrated into VS Code for all engineering staff with access to internal proprietary codebases.,app-code-assistant,IT,James Okafor,restricted,Active,70,"ai-system,it,copilot,mitigated"
Infrastructure Monitoring AI,LLM-based anomaly detection and alert summarisation for cloud infrastructure events.,app-infra-monitoring,IT,James Okafor,internal,Active,30,"ai-system,it,gemini,compliant"
Incident Summariser,Automatically summarises production incidents from logs and Slack threads for post-mortems.,app-incident-summariser,IT,James Okafor,internal,Active,40,"ai-system,it,claude,owned"
Security Log Analyser,Analyses SIEM logs using an LLM to identify suspicious patterns and generate human-readable threat summaries.,app-security-log,IT,James Okafor,restricted,Active,75,"ai-system,it,gpt-4o,assessed"
Deployment Describer,Generates deployment notes and change summaries from git diffs for release communications.,app-deployment-describer,IT,James Okafor,internal,Active,20,"ai-system,it,copilot,compliant"
Fraud Detection Model,ML classifier that scores insurance claims for fraud likelihood using historical patterns and anomaly detection.,app-fraud-detection,Claims,Emma Fischer,restricted,Active,80,"ai-system,claims,custom-ml,assessed"
Claims Triage AI,Routes incoming claims to the correct team and priority queue based on claim type; value; and complexity.,app-claims-triage,Claims,Emma Fischer,confidential,Active,55,"ai-system,claims,gemini,owned"
Damage Assessment AI,Analyses photos of vehicle or property damage to estimate repair costs using computer vision.,app-damage-assessment,Claims,Emma Fischer,confidential,Active,60,"ai-system,claims,gpt-4o-vision,mitigated"
Claims Letter Generator,"Generates outcome letters for claimants based on claim decisions, personalised with relevant policy details.",app-claims-letter,Claims,Emma Fischer,confidential,Active,55,"ai-system,claims,claude,owned"
Subrogation Analyser,Identifies subrogation opportunities in settled claims by analysing case details against third-party liability indicators.,app-subrogation,Claims,Emma Fischer,confidential,Active,35,"ai-system,claims,gpt-4o,compliant"
Customer Chat Bot,"Customer-facing AI chatbot handling policy queries, claims status updates, and general insurance questions.",app-customer-chatbot,Customer Service,Alex Kumar,internal,Active,70,"ai-system,customer-service,gpt-4o,mitigated"
Complaint Classifier,Categorises customer complaints by type and urgency for FCA reporting and team routing.,app-complaint-classifier,Customer Service,Alex Kumar,confidential,Active,65,"ai-system,customer-service,claude,compliant"
Sentiment Tracker,Monitors customer interaction sentiment in real-time to flag at-risk relationships to account managers.,app-sentiment-tracker,Customer Service,Alex Kumar,internal,Active,35,"ai-system,customer-service,custom-ml,compliant"
Response Suggester,Suggests reply templates to agents based on customer query context and historical successful responses.,app-response-suggester,Customer Service,Alex Kumar,internal,Active,20,"ai-system,customer-service,claude,compliant"
FAQ Generator,Automatically generates FAQ content from product documentation and common customer queries.,app-faq-generator,Customer Service,Alex Kumar,public,Active,30,"ai-system,customer-service,gpt-4o,compliant"
CV Screening,AI classifier that ranks candidate CVs for shortlisting. Processes photos and personal data from uploaded documents.,app-cv-screening,HR,Priya Sharma,restricted,Active,90,"ai-system,hr,hirevue,discovered,high-risk"
Job Description Generator,Creates job descriptions from role requirements using ChatGPT; edited by HR before publishing.,app-job-desc-gen,HR,Priya Sharma,public,Active,35,"ai-system,hr,gpt-4o,owned"
Interview Scorer,Scores recorded video interviews using facial analysis and speech patterns to predict job suitability.,app-interview-scorer,HR,Priya Sharma,restricted,Active,90,"ai-system,hr,hirevue,discovered,high-risk"
Onboarding Assistant,AI chatbot that guides new employees through onboarding tasks; answering HR policy questions.,app-onboarding,HR,Priya Sharma,internal,Active,35,"ai-system,hr,claude,owned"
Salary Benchmarker,Analyses market salary data to recommend compensation ranges for open roles.,app-salary-bench,HR,Priya Sharma,confidential,Active,40,"ai-system,hr,gpt-4o,owned"
Report Generator,Generates financial reports and board packs from structured data using GPT-4o.,app-report-gen,Finance,Marco Rossi,restricted,Active,70,"ai-system,finance,gpt-4o,assessed"
Budget Forecasting,Uses Claude to generate budget forecasts and variance analysis.,app-budget-forecast,Finance,Marco Rossi,confidential,Active,45,"ai-system,finance,claude,owned"
Invoice Classifier,Automatically classifies and routes incoming invoices.,app-invoice-classifier,Finance,Marco Rossi,internal,Active,25,"ai-system,finance,gemini,compliant"
Expense Anomaly Detector,Flags unusual expenses for compliance review.,app-expense-anomaly,Finance,Marco Rossi,confidential,Active,40,"ai-system,finance,llama,owned"
Earnings Summariser,Generates plain-language summaries of earnings reports.,app-earnings-summariser,Finance,Marco Rossi,confidential,Active,30,"ai-system,finance,mistral,compliant"
Risk Scoring,Custom ML model for enterprise-wide risk scoring.,app-risk-scoring,Risk & Compliance,Lisa Wang,restricted,Active,65,"ai-system,risk,custom-ml,assessed"
Regulatory Change Tracker,Monitors regulatory changes and flags relevant updates.,app-reg-tracker,Risk & Compliance,Lisa Wang,internal,Active,30,"ai-system,risk,gpt-4o,compliant"
