Component Name,Description,Custom ID,Provider,Service Type,Region,Status,Uptime Pct,Cost Per Month NOK,Security Certifications,Network Isolation,Scaling Policy,Backup Strategy,Tags
Azure OpenAI Service,Primary AI platform hosting LLM inference workloads for claims and customer service.,ts-azure-openai,Microsoft Azure,AI Platform,Norway East,healthy,99.97,245000,"ISO 27001; SOC 2; GDPR",Private endpoints,Auto-scale 2-10 instances,Multi-region failover,"infrastructure,ai-platform,azure"
ML Training Cluster,GPU compute cluster for model training and fine-tuning workloads.,ts-ml-training,Microsoft Azure,Compute Cluster,Norway East,healthy,99.89,128000,"ISO 27001; SOC 2",VNet isolated,On-demand GPU allocation,Model checkpointing,"infrastructure,compute,azure"
Inference API Gateway,API management layer routing inference requests to backend AI models.,ts-api-gateway,Microsoft Azure,API Management,Norway East + West Europe,healthy,99.99,34500,"ISO 27001; PCI DSS",WAF protected,Global load balancing,Active-active failover,"infrastructure,api,azure"
Model Registry,MLOps platform for model versioning; tracking; and deployment management.,ts-model-registry,Azure ML,MLOps Platform,Norway East,healthy,99.95,12800,ISO 27001,Private endpoints,N/A,Geo-redundant storage,"infrastructure,mlops,azure"
Logging and Monitoring,Observability platform for AI model performance; drift; and security monitoring.,ts-logging,Azure Monitor + Datadog,Observability,Norway East,healthy,99.98,45200,"SOC 2; GDPR",Secure log forwarding,Auto-retention policies,90-day retention,"infrastructure,observability,azure,datadog"
Anthropic Claude API,Vendor-provided Claude API for chatbot and summarisation use cases.,ts-anthropic,Anthropic,AI API Service,EU (Ireland),active,99.94,124200,"SOC 2; GDPR",API endpoint,Auto-scale,Provider-managed,"vendor-service,anthropic"
Google Document AI,Vendor-provided document processing and OCR service.,ts-google-docai,Google Cloud,AI API Service,EU (Finland),active,99.97,56300,"ISO 27001; SOC 2",API endpoint,Auto-scale,Provider-managed,"vendor-service,google"
Microsoft Azure AI,Primary cloud platform hosting all AI workloads including OpenAI and Azure ML.,ts-azure-ai,Microsoft Azure,Cloud Platform,Norway East,active,99.87,373000,"ISO 27001; SOC 2; GDPR",VNet + Private endpoints,Auto-scale,Multi-region,"vendor-service,azure"
Datadog AI Observability,AI-specific observability and monitoring platform.,ts-datadog,Datadog,Observability,EU (Germany),active,99.96,45200,"SOC 2; GDPR",Secure forwarding,Auto-scale,Provider-managed,"vendor-service,datadog"
Weights and Biases,MLOps experiment tracking and model versioning platform (under evaluation).,ts-wandb,Weights & Biases,MLOps Platform,EU (Ireland),evaluation,99.82,15000,"SOC 2; GDPR",API endpoint,Auto-scale,Provider-managed,"vendor-service,wandb,evaluation"
