Component Name,Component Type,Node ID,Node Type,Risk Level,Department,Description,Data Classification,Monthly Transactions,Last Security Audit,Compliance Frameworks,Owner,Connections
Claims Assessment AI,Network Node,ai-claims,model,critical,Claims,"Automated claims evaluation for property, casualty, and health insurance using computer vision and NLP.",restricted,12450,2024-11-15,"EU AI Act; GDPR; Solvency II",Claims Director,"Claims Database; Document Store; Cloud Platform; Medical Records API"
Customer Service AI Chatbot,Network Node,ai-chatbot,model,high,Customer Service,"24/7 customer support assistant handling policy inquiries and claims status.",confidential,45200,2024-10-22,"EU AI Act; GDPR",Customer Service Manager,"Customer CRM Database; Customer Portal API; Identity Verification Service"
Underwriting Risk Engine,Network Node,ai-underwriting,model,critical,Underwriting,"AI-driven risk assessment and premium calculation for life, health, and pension products.",restricted,8520,2024-11-01,"EU AI Act; GDPR; Solvency II; IDD",Underwriting Director,"Actuarial Data Warehouse; Health Records Vault; Cloud Platform; External Registry"
Fraud Detection System,Network Node,ai-fraud,model,high,Risk,"Real-time transaction and claims fraud detection using behavioural analytics.",restricted,34000,2024-10-15,"EU AI Act; GDPR; Anti-Money Laundering",Risk Director,"Claims Database; Customer CRM Database; Regulatory Reporting Gateway"
Pension Investment Advisor,Network Node,ai-pension,model,high,Pension,"AI advisory system for pension fund management and investment optimisation.",confidential,2850,2024-09-20,"MiFID II; Solvency II; GDPR",Pension Director,"Actuarial Data Warehouse; External Market Data; Cloud Platform"
Claims Database,Network Node,db-claims,database,critical,Claims,"Central claims processing database with 2.4M active and historical claim records.",restricted,,,,"Claims Assessment AI; Fraud Detection System"
Customer CRM Database,Network Node,db-crm,database,high,Customer Service,"Customer relationship management system with 1.7M customer profiles.",confidential,,,,"Customer Service AI Chatbot; Fraud Detection System"
Actuarial Data Warehouse,Network Node,db-actuarial,database,high,Risk,"15 years of historical actuarial data for pricing, reserving, and risk modelling.",confidential,,,,"Underwriting Risk Engine; Pension Investment Advisor"
Health Records Vault,Network Node,db-health,database,high,Medical Underwriting,"1.2M health and medical records for underwriting and claims assessment.",restricted,,,,"Claims Assessment AI; Underwriting Risk Engine"
Medical Records API,Network Node,ext-medical,external,critical,External,"External API integration with national health records for claims verification.",restricted,,,,Claims Assessment AI
Identity Verification Service,Network Node,ext-identity,external,high,External,"Third-party identity verification for customer onboarding and fraud prevention.",confidential,,,,Customer Service AI Chatbot
Regulatory Reporting Gateway,Network Node,ext-registry,external,high,External,"Automated reporting interface with Financial Supervisory Authority.",confidential,,,,Fraud Detection System
Cloud Platform,Network Node,infra-cloud,infrastructure,high,IT,"Azure Norway East cloud infrastructure hosting all AI workloads.",confidential,,,,"Claims Assessment AI; Underwriting Risk Engine; Pension Investment Advisor"
Security Operations Centre,Network Node,infra-soc,infrastructure,medium,IT,24/7 security monitoring and incident response for AI systems.,internal,,,,All AI Models
Customer Portal API,Network Node,api-portal,internal,medium,IT,Customer-facing API gateway serving web and mobile applications.,confidential,,,,Customer Service AI Chatbot
