Source Custom ID,Target Custom ID,Reference Type,Description
cap-llm,tp-gpt4o,Is Realized By,GPT-4o realizes LLM capability
cap-llm,tp-chatgpt5o,Is Realized By,ChatGPT-5o realizes LLM capability
cap-llm,tp-claude35,Is Realized By,Claude 3.5 Sonnet realizes LLM capability
cap-llm,tp-gemini,Is Realized By,Gemini Pro realizes LLM capability
cap-llm,tp-copilot,Is Realized By,GitHub Copilot realizes LLM capability
cap-llm,tp-llama3,Is Realized By,Llama 3 realizes LLM capability
cap-llm,tp-mistral,Is Realized By,Mistral Large realizes LLM capability
cap-llm,tp-deepseek,Is Realized By,DeepSeek R1 realizes LLM capability
cap-speech,tp-whisper,Is Realized By,Whisper realizes Speech Recognition capability
cap-imggen,tp-sdxl,Is Realized By,Stable Diffusion XL realizes Image Generation capability
cap-cv,tp-gpt4o-vision,Is Realized By,GPT-4o Vision realizes Computer Vision capability
cap-ml-fraud,tp-fraud-ml,Is Realized By,Custom Fraud Classifier realizes Fraud Detection capability
cap-nlp-sentiment,tp-sentiment-ml,Is Realized By,Custom Sentiment Model realizes Sentiment Analysis capability
cap-ml-classification,tp-cv-hirevue,Is Realized By,CV Classifier realizes Classification capability
cap-cv,tp-interview-hirevue,Is Realized By,Interview AI realizes Computer Vision capability
cap-ml-riskscore,tp-risk-ml,Is Realized By,Custom Risk Model realizes Risk Scoring capability
cap-ml-riskscore,tp-underwriting-ml,Is Realized By,Custom Underwriting Model realizes Risk Scoring capability
cap-llm-docanalysis,tp-azure-openai-claims,Is Realized By,Azure OpenAI Claims realizes Document Analysis capability
cap-llm-conversational,tp-claude-chatbot,Is Realized By,Anthropic Claude Chatbot realizes Conversational AI capability
cap-ml-riskscore,tp-custom-underwriting,Is Realized By,Custom ML Underwriting realizes Risk Scoring capability
cap-ml-anomaly,tp-tf-fraud,Is Realized By,TensorFlow Fraud realizes Anomaly Detection capability
cap-nlp-ner,tp-google-docai,Is Realized By,Google Document AI realizes NER capability
app-contract-review,tp-gpt4o,Deploys,Contract Review AI deploys GPT-4o
app-legal-brief,tp-claude35,Deploys,Legal Brief Summariser deploys Claude 3.5
app-clause-extractor,tp-gpt4o,Deploys,Clause Extractor deploys GPT-4o
app-compliance-checker,tp-gpt4o,Deploys,Compliance Checker deploys GPT-4o
app-nda-drafting,tp-claude35,Deploys,NDA Drafting Assistant deploys Claude 3.5
app-code-assistant,tp-copilot,Deploys,Code Assistant deploys GitHub Copilot
app-infra-monitoring,tp-gemini,Deploys,Infrastructure Monitoring deploys Gemini Pro
app-incident-summariser,tp-claude35,Deploys,Incident Summariser deploys Claude 3.5
app-security-log,tp-gpt4o,Deploys,Security Log Analyser deploys GPT-4o
app-deployment-describer,tp-copilot,Deploys,Deployment Describer deploys GitHub Copilot
