Component Name,Description,Custom ID,Assessment Type,Subject Application Custom ID,Pass,Rationale,Review Date,Approval Status,Approved By Custom ID,EU AI Act Risk Level,Tags
Contract Review AI - EU AI Act,EU AI Act compliance assessment for Contract Review AI.,ca-contract-review-euai,EU AI Act,app-contract-review,false,Partial compliance — data leakage risk mitigation pending. Art. 9 requirements not fully met.,2026-03-15,Under Review,person-sarah-chen,Limited Risk,"compliance,eu-ai-act,partial"
Code Assistant - EU AI Act,EU AI Act compliance assessment for Code Assistant (GitHub Copilot).,ca-code-assistant-euai,EU AI Act,app-code-assistant,true,Covered — enterprise licence with no-train clause applied. IP exposure mitigated.,2026-03-17,Approved,person-james-okafor,Limited Risk,"compliance,eu-ai-act,covered"
Fraud Detection Model - EU AI Act,EU AI Act compliance assessment for Fraud Detection Model.,ca-fraud-detection-euai,EU AI Act,app-fraud-detection,false,Partial — demographic bias in fraud scoring identified. Art. 10 fairness constraints pending.,2026-03-10,Under Review,person-emma-fischer,High-Risk,"compliance,eu-ai-act,partial,high-risk"
Customer Chat Bot - EU AI Act,EU AI Act compliance assessment for Customer Chat Bot.,ca-customer-chatbot-euai,EU AI Act,app-customer-chatbot,false,Partial — knowledge base grounding applied but regulatory disclaimer mechanism incomplete.,2026-03-18,Under Review,person-alex-kumar,Limited Risk,"compliance,eu-ai-act,partial"
CV Screening - EU AI Act,EU AI Act compliance assessment for CV Screening.,ca-cv-screening-euai,EU AI Act,app-cv-screening,false,Gap — critical bias risk in protected characteristics. Art. 10 requirements not met. Art. 5 prohibited practices review needed.,2026-03-15,Rejected,person-priya-sharma,High-Risk,"compliance,eu-ai-act,gap,high-risk,critical"
Interview Scorer - EU AI Act,EU AI Act compliance assessment for Interview Scorer.,ca-interview-scorer-euai,EU AI Act,app-interview-scorer,false,Gap — facial analysis may violate Art. 5 prohibited practices. Biometric categorisation review required.,2026-03-16,Rejected,person-priya-sharma,Unacceptable Risk,"compliance,eu-ai-act,gap,unacceptable-risk,critical"
Report Generator - EU AI Act,EU AI Act compliance assessment for Report Generator.,ca-report-gen-euai,EU AI Act,app-report-gen,false,Partial — restricted financial data handling needs additional controls per Art. 9.,2026-03-12,Under Review,person-marco-rossi,Limited Risk,"compliance,eu-ai-act,partial"
Policy Risk Assessor - EU AI Act,EU AI Act compliance assessment for Policy Risk Assessor.,ca-policy-risk-euai,EU AI Act,app-policy-risk,false,Gap — critical bias risk from postcode proxy for demographics. Art. 10 fairness requirements unmet.,2026-03-14,Rejected,person-tom-bradley,High-Risk,"compliance,eu-ai-act,gap,high-risk,critical"
Security Log Analyser - EU AI Act,EU AI Act compliance assessment for Security Log Analyser.,ca-security-log-euai,EU AI Act,app-security-log,false,Gap — prompt injection risk via malicious log entries. Art. 15 robustness requirements unmet.,2026-03-15,Under Review,person-james-okafor,Limited Risk,"compliance,eu-ai-act,gap"
Risk Scoring - EU AI Act,EU AI Act compliance assessment for Risk Scoring model.,ca-risk-scoring-euai,EU AI Act,app-risk-scoring,false,Partial — bias audit in progress. Art. 10 requirements partially met.,2026-03-15,Under Review,person-lisa-wang,High-Risk,"compliance,eu-ai-act,partial,high-risk"
Sanctions Screener - EU AI Act,EU AI Act compliance assessment for Sanctions Screener.,ca-sanctions-euai,EU AI Act,app-sanctions,false,Partial — compliance framework coverage incomplete.,2026-03-15,Under Review,person-lisa-wang,High-Risk,"compliance,eu-ai-act,partial"
Contract Review AI - GDPR,GDPR compliance assessment for Contract Review AI.,ca-contract-review-gdpr,GDPR,app-contract-review,false,Partial — data minimisation policy pending. PII stripping not yet automated.,2026-03-15,Under Review,person-sarah-chen,,"compliance,gdpr,partial"
HealthcareAnalytics - GDPR,GDPR compliance assessment for HealthcareAnalytics.,ca-spm003-gdpr,GDPR,app-spm-003,false,Non-compliant — PHI data accessed without proper authorisation controls. Immediate remediation required.,2026-03-10,Rejected,person-emily-watson,,"compliance,gdpr,non-compliant,critical"
MarketingCopilot - GDPR,GDPR compliance assessment for MarketingCopilot (shadow IT).,ca-spm004-gdpr,GDPR,app-spm-004,false,Non-compliant — shadow deployment with unknown data handling. No DPA in place.,2026-03-10,Rejected,,,"compliance,gdpr,non-compliant,shadow"
ChatbotAlpha - GDPR,GDPR compliance assessment for ChatbotAlpha (shadow IT).,ca-spm011-gdpr,GDPR,app-spm-011,false,Non-compliant — shadow deployment with uncontrolled PII exposure. 156 prompt injection attempts detected.,2026-03-10,Rejected,,,"compliance,gdpr,non-compliant,shadow,critical"
