Component Name,Component Type,Description,Department,AI Model,Owner,Data Classification,Primary Risk Category,Primary Risk Severity,OWASP LLM Ref,NIST AI RMF Ref,EU AI Act Ref,EU AI Act Status,NIST AI RMF Status,OWASP LLM Status,ISO 42001 Status,Discovery Method,Assessment Status,Created Date,Last Reviewed Date
Contract Review AI,AI Use Case,"Uses GPT-4o to review and summarise legal contracts, flagging unusual clauses and risks.",Legal,GPT-4o,Sarah Chen,confidential,hallucination,critical,LLM09,GOVERN 1.1,Art. 9,partial,partial,covered,gap,agent-campaign,assessed,2026-03-10,2026-03-15
Legal Brief Summariser,AI Use Case,"Summarises lengthy legal briefs and case documents using Claude 3.5 Sonnet.",Legal,Claude 3.5 Sonnet,Sarah Chen,confidential,hallucination,high,LLM09,GOVERN 1.2,,covered,partial,covered,partial,agent-campaign,owned,2026-03-10,2026-03-15
Clause Extractor,AI Use Case,"Automatically identifies and extracts specific contract clauses from uploaded documents.",Legal,GPT-4o,Sarah Chen,confidential,hallucination,high,LLM09,,,partial,covered,partial,gap,agent-campaign,assessed,2026-03-11,2026-03-15
Compliance Checker,AI Use Case,"Checks contracts and policies against current regulatory requirements.",Legal,GPT-4o,Sarah Chen,internal,compliance,high,,,,covered,covered,partial,covered,agent-campaign,compliant,2026-03-08,2026-03-16
NDA Drafting Assistant,AI Use Case,"Generates first-draft NDAs based on deal parameters, reviewed by legal.",Legal,Claude 3.5 Sonnet,Sarah Chen,confidential,ip-exposure,critical,LLM06,,Art. 9,partial,partial,covered,gap,agent-campaign,owned,2026-03-09,2026-03-14
Code Assistant,AI Use Case,"GitHub Copilot integrated into VS Code for all engineering staff.",IT,GitHub Copilot,James Okafor,restricted,ip-exposure,critical,LLM06,MANAGE 2.4,,covered,covered,partial,partial,agent-campaign,mitigated,2026-03-05,2026-03-17
Infrastructure Monitoring AI,AI Use Case,"LLM-based anomaly detection and alert summarisation for cloud infrastructure events.",IT,Gemini Pro,James Okafor,internal,hallucination,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-01,2026-03-18
Incident Summariser,AI Use Case,"Automatically summarises production incidents from logs and Slack threads.",IT,Claude 3.5 Sonnet,James Okafor,internal,hallucination,medium,LLM09,,,,covered,partial,covered,partial,agent-campaign,owned,2026-03-12,2026-03-16
Security Log Analyser,AI Use Case,"Analyses SIEM logs using an LLM to identify suspicious patterns.",IT,GPT-4o,James Okafor,restricted,prompt-injection,critical,LLM01,GOVERN 6.2,Art. 15,gap,partial,gap,gap,agent-campaign,assessed,2026-03-13,2026-03-15
Deployment Describer,AI Use Case,"Generates deployment notes and change summaries from git diffs.",IT,GitHub Copilot,James Okafor,internal,hallucination,low,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-10,2026-03-17
Fraud Detection Model,AI Use Case,"ML classifier that scores insurance claims for fraud likelihood.",Claims,Custom Fraud Classifier,Emma Fischer,restricted,bias,critical,LLM09,MAP 5.1,Art. 10,partial,partial,partial,partial,agent-campaign,assessed,2026-02-01,2026-03-10
Claims Triage AI,AI Use Case,"Routes incoming claims to the correct team and priority queue.",Claims,Gemini Pro,Emma Fischer,confidential,hallucination,high,,,Art. 9,partial,covered,covered,partial,agent-campaign,owned,2026-02-15,2026-03-12
Damage Assessment AI,AI Use Case,"Analyses photos of vehicle or property damage to estimate repair costs.",Claims,GPT-4o Vision,Emma Fischer,confidential,hallucination,high,LLM09,,,covered,partial,covered,partial,agent-campaign,mitigated,2026-02-20,2026-03-14
Claims Letter Generator,AI Use Case,"Generates outcome letters for claimants based on claim decisions.",Claims,Claude 3.5 Sonnet,Emma Fischer,confidential,compliance,high,,,Art. 9,partial,covered,partial,covered,agent-campaign,owned,2026-03-01,2026-03-15
Subrogation Analyser,AI Use Case,"Identifies subrogation opportunities in settled claims.",Claims,GPT-4o,Emma Fischer,confidential,hallucination,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-05,2026-03-17
Customer Chat Bot,AI Use Case,"Customer-facing AI chatbot handling policy queries and claims status.",Customer Service,GPT-4o,Alex Kumar,internal,hallucination,critical,LLM09,,Art. 9,partial,covered,covered,partial,agent-campaign,mitigated,2026-01-15,2026-03-18
Complaint Classifier,AI Use Case,"Categorises customer complaints by type and urgency for FCA reporting.",Customer Service,Claude 3.5 Sonnet,Alex Kumar,confidential,compliance,critical,,,Art. 9,covered,covered,covered,covered,agent-campaign,compliant,2026-01-20,2026-03-15
Sentiment Tracker,AI Use Case,"Monitors customer interaction sentiment in real-time.",Customer Service,Custom Sentiment Model,Alex Kumar,internal,bias,medium,LLM09,,,covered,covered,covered,covered,agent-campaign,compliant,2026-02-01,2026-03-16
Response Suggester,AI Use Case,"Suggests reply templates to agents based on customer query context.",Customer Service,Claude 3.5 Sonnet,Alex Kumar,internal,hallucination,low,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-02-10,2026-03-18
FAQ Generator,AI Use Case,"Automatically generates FAQ content from product documentation.",Customer Service,GPT-4o,Alex Kumar,public,compliance,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-02-15,2026-03-17
CV Screening,AI Use Case,"AI classifier that ranks candidate CVs for shortlisting. Processes photos and personal data.",HR,CV Classifier (HireVue),Priya Sharma,restricted,bias,critical,LLM09,MAP 5.1,Art. 10,gap,gap,partial,gap,agent-campaign,discovered,2026-03-15,2026-03-15
Job Description Generator,AI Use Case,"Creates job descriptions from role requirements using ChatGPT.",HR,GPT-4o,Priya Sharma,public,bias,medium,LLM09,,,covered,covered,covered,partial,agent-campaign,owned,2026-03-01,2026-03-15
Interview Scorer,AI Use Case,"Scores recorded video interviews using facial analysis and speech patterns.",HR,Interview AI (HireVue),Priya Sharma,restricted,bias,critical,LLM09,,Art. 5,gap,gap,partial,gap,agent-campaign,discovered,2026-03-16,2026-03-16
Onboarding Assistant,AI Use Case,"AI chatbot that guides new employees through onboarding tasks.",HR,Claude 3.5 Sonnet,Priya Sharma,internal,compliance,medium,,,,covered,covered,covered,partial,agent-campaign,owned,2026-03-05,2026-03-15
